hours_studied_per_week,attendance_percentage,previous_grade,sleep_hours_per_night,has_tutor,study_group_participation,assignments_completion_percentage,extracurricular_hours_per_week,final_grade
15.3,63.4,69.9,7.9,0,1,98.9,3.4,72.2
27.3,87.8,78.5,6.5,0,1,100.0,7.3,100.0
14.0,62.7,96.9,7.8,0,0,94.9,5.2,80.6
16.5,95.1,69.2,7.1,0,1,100.0,1.8,87.1
14.8,86.9,80.5,9.0,0,0,95.6,1.5,78.9
9.2,90.7,55.5,4.1,0,1,93.6,0.8,61.3
20.7,95.1,87.7,6.4,0,0,100.0,1.4,93.6
18.8,80.2,54.3,9.4,1,1,94.9,0.4,72.4
19.0,72.2,84.6,7.8,0,0,100.0,10.6,85.0
10.5,64.0,74.0,9.7,0,0,63.9,2.6,44.9
22.0,85.0,73.6,5.2,1,0,96.9,0.4,83.7
8.0,70.0,71.4,8.6,0,0,79.0,1.3,52.0
17.9,64.6,59.4,8.5,0,1,92.5,2.4,69.9
26.0,69.0,60.0,4.5,0,1,100.0,2.3,73.8
10.0,85.6,85.0,6.6,0,1,84.1,0.1,73.0
12.2,78.0,75.1,6.8,0,0,41.0,9.0,52.0
15.5,74.8,71.3,4.6,0,0,100.0,1.0,67.4
12.5,64.9,80.3,6.6,1,0,97.2,0.0,72.9
7.2,71.7,76.2,8.3,1,1,70.5,0.2,63.1
15.3,88.5,65.5,6.4,0,1,100.0,2.6,81.5
9.7,58.7,100.0,7.4,0,0,58.0,0.4,54.0
17.4,85.0,83.9,7.4,0,0,100.0,0.1,80.1
10.4,93.1,76.5,7.0,0,0,86.5,1.4,68.1
22.7,84.8,68.8,5.9,0,1,100.0,2.9,87.4
11.1,69.5,86.4,8.0,1,1,72.0,0.4,73.4
13.4,86.9,65.5,4.6,0,1,97.2,1.1,67.3
19.1,71.0,64.5,7.0,1,0,100.0,1.6,80.8
8.8,75.7,95.3,9.1,1,1,90.6,0.5,83.3
16.1,80.6,75.4,6.3,1,1,100.0,2.1,86.6
21.5,80.1,65.8,5.9,0,0,100.0,0.3,81.6
7.0,87.3,75.1,8.1,0,0,88.9,0.1,67.0
15.9,72.9,85.2,7.2,0,0,100.0,2.2,77.9
16.3,69.9,82.5,8.1,0,0,65.4,0.9,63.3
18.9,92.9,86.7,7.1,0,1,100.0,0.3,92.6
8.8,83.5,60.0,4.0,0,0,97.7,1.7,57.9
8.4,89.5,86.4,8.8,0,1,70.5,7.4,71.6
17.6,91.4,72.9,10.1,0,0,100.0,3.9,80.6
16.5,61.2,76.1,8.9,1,0,82.2,5.1,62.3
16.3,89.8,89.5,4.0,0,0,100.0,6.2,79.4
16.7,80.4,83.4,7.7,0,0,100.0,10.8,76.9
11.6,93.9,79.2,6.3,0,0,94.7,4.3,77.0
16.2,71.9,51.2,5.4,1,0,96.4,2.8,67.9
16.5,99.5,74.5,7.2,0,0,100.0,1.4,85.3
11.4,80.1,65.6,6.8,0,0,63.3,0.6,50.3
24.3,71.9,83.5,7.8,0,0,100.0,3.5,88.2
17.4,87.1,86.9,7.1,1,0,85.6,15.9,83.4
9.0,73.6,71.4,5.3,1,0,83.8,1.9,57.8
18.3,61.1,67.0,6.1,0,1,92.0,3.9,66.7
10.1,92.4,93.7,5.9,0,0,95.7,2.1,78.4
18.9,87.6,67.8,4.4,0,1,100.0,1.7,84.2
20.8,73.8,60.7,4.9,0,0,88.6,1.6,72.6
10.9,95.1,65.0,6.7,0,1,100.0,2.1,76.7
19.8,88.7,68.3,9.1,1,0,91.5,1.4,79.6
17.1,66.2,64.7,6.2,1,1,91.6,4.1,77.9
19.1,90.5,85.1,5.9,0,0,100.0,6.2,87.6
24.5,86.7,48.6,5.2,0,1,100.0,6.4,74.8
13.8,94.0,64.4,7.0,0,0,100.0,0.8,68.5
11.2,77.7,74.4,8.8,1,0,87.1,6.8,72.6
10.6,77.5,77.5,10.0,1,1,76.3,1.3,64.2
10.9,80.7,95.3,7.4,0,0,47.8,1.1,60.3
14.6,77.6,93.5,7.2,0,0,98.0,3.9,76.9
16.7,80.5,55.8,6.2,0,0,100.0,1.1,69.9
16.4,77.9,52.1,6.4,0,1,73.3,0.2,51.9
19.1,81.4,75.3,7.9,1,1,100.0,1.4,93.6
15.1,83.7,66.9,6.5,0,0,100.0,3.8,76.5
22.3,73.1,60.7,6.8,1,1,80.9,1.2,74.8
13.7,97.0,75.2,7.0,0,0,100.0,3.0,82.7
28.6,92.5,77.8,6.1,1,0,100.0,3.2,89.8
18.1,82.4,64.9,6.9,0,1,87.6,4.0,76.5
10.7,60.4,67.5,4.0,1,1,67.8,6.8,56.9
9.6,89.9,65.9,7.8,0,1,91.3,1.7,60.3
17.4,71.2,70.1,10.5,0,0,94.2,0.5,65.8
13.9,97.5,81.5,6.2,0,0,100.0,1.2,81.3
18.6,80.8,62.1,7.6,0,0,100.0,1.7,76.5
17.4,70.3,67.3,8.3,0,0,100.0,3.8,78.6
14.6,73.9,70.2,8.9,0,0,84.1,0.0,60.3
10.8,82.4,74.9,6.6,1,1,76.4,1.1,68.1
7.4,82.4,78.3,4.3,0,1,36.5,4.5,37.7
12.8,71.2,99.5,7.4,1,0,70.6,3.3,80.7
19.3,84.7,81.9,7.2,1,0,100.0,3.9,91.9
16.1,85.8,82.2,6.5,0,1,100.0,5.0,85.0
8.8,59.7,71.8,6.8,0,0,78.3,4.6,54.2
15.9,88.5,63.2,7.2,0,1,100.0,3.4,81.9
16.9,76.1,68.7,7.5,0,0,82.7,1.7,70.5
10.6,72.1,66.5,7.5,0,0,74.4,12.3,63.3
15.8,80.0,79.7,6.7,1,1,83.9,2.5,82.3
15.3,85.2,55.2,7.6,0,0,100.0,0.7,69.8
9.3,54.5,82.1,6.6,0,0,75.4,1.0,52.5
16.8,95.3,73.6,8.0,0,0,94.6,3.5,80.7
17.8,66.2,83.8,6.1,1,1,92.4,7.8,81.2
20.4,80.8,66.3,7.1,0,1,100.0,0.6,82.9
20.3,78.1,64.2,4.6,0,0,100.0,0.3,75.0
8.1,87.6,70.1,6.4,0,0,89.4,6.4,64.1
10.3,88.5,69.8,7.9,0,1,99.8,7.4,75.4
17.6,84.3,84.7,5.4,1,0,100.0,1.0,91.2
17.6,49.0,84.6,6.5,1,1,49.5,1.4,56.9
17.6,59.7,97.9,4.0,0,0,95.0,3.2,69.5
34.3,84.8,69.1,4.9,0,0,100.0,1.2,75.1
17.9,77.7,34.8,5.3,0,1,100.0,6.3,60.9
20.7,82.8,70.1,7.2,0,0,100.0,0.3,83.3
19.8,85.2,77.8,7.5,0,1,98.4,0.1,86.7
18.3,88.6,83.6,6.9,0,0,98.5,0.7,84.8
13.4,90.0,78.6,6.4,0,0,61.7,1.0,66.1
18.8,76.2,69.0,6.4,1,1,75.6,0.4,72.2
11.1,76.7,95.6,8.1,0,0,75.3,0.2,71.0
13.8,75.8,62.6,7.3,1,1,94.1,4.2,81.3
12.6,82.1,71.7,6.5,0,0,79.1,0.5,61.9
15.4,88.3,62.0,8.9,0,1,80.0,7.4,72.8
26.6,87.3,75.2,9.9,1,1,98.7,1.4,88.9
5.7,96.9,94.1,5.1,0,0,81.5,3.3,70.8
18.4,75.6,73.3,7.8,0,1,98.2,0.8,76.5
6.9,96.9,73.4,11.6,0,1,72.9,0.8,51.1
12.6,65.8,54.6,7.4,0,0,91.1,2.6,58.2
20.4,73.1,71.6,7.2,1,0,78.5,2.5,74.4
15.3,53.4,88.8,6.9,1,0,86.8,4.4,74.1
9.6,70.5,72.0,7.7,0,0,89.7,4.3,63.4
11.4,88.2,71.2,8.1,0,0,84.2,3.3,69.9
18.4,79.0,88.3,5.1,0,0,73.6,1.8,70.5
11.3,89.0,71.2,7.0,0,0,85.2,6.6,67.7
16.1,83.2,90.5,4.0,0,1,97.9,2.9,81.0
15.2,61.1,59.6,6.7,0,0,93.1,13.9,56.9
11.7,78.4,83.1,5.6,0,1,64.0,5.1,60.5
25.7,92.9,94.8,7.5,0,0,100.0,0.1,91.0
18.2,84.7,87.1,4.5,0,0,100.0,1.2,81.9
4.9,81.4,52.6,6.2,0,1,50.9,2.5,36.7
15.9,85.1,67.3,8.4,0,0,80.6,3.8,71.7
11.7,64.3,72.1,6.0,1,0,70.9,2.4,54.3
19.3,73.6,87.1,4.1,1,0,83.9,4.6,77.6
11.0,80.4,59.0,7.4,0,0,76.1,1.0,62.1
14.4,71.7,62.8,6.1,0,0,95.7,0.6,61.9
17.5,74.9,55.7,6.7,1,1,73.1,0.2,65.8
19.3,92.1,65.1,5.9,1,0,100.0,2.6,81.3
9.0,59.9,60.0,10.0,1,1,59.7,3.5,42.4
13.3,94.2,94.2,4.7,0,1,100.0,1.2,89.5
12.6,93.9,67.2,11.3,1,0,68.3,2.9,62.0
11.7,92.1,83.3,6.4,0,0,95.6,0.2,76.6
23.8,50.0,75.2,7.3,1,1,100.0,0.3,77.7
17.0,72.5,75.0,6.1,1,1,94.8,3.6,83.3
8.7,92.0,67.9,6.1,0,0,63.0,1.4,56.7
19.6,91.2,84.2,5.8,1,0,87.2,3.3,91.2
25.6,85.0,76.9,7.9,0,0,97.7,5.3,89.2
20.2,75.7,76.2,4.9,1,0,100.0,5.7,81.6
7.4,78.0,67.9,7.5,0,0,96.9,0.6,64.3
12.6,79.1,69.8,4.0,1,1,83.4,2.0,69.1
21.3,63.5,82.1,7.4,0,0,86.0,4.0,72.7
11.5,82.4,77.8,8.3,1,1,72.2,4.5,68.8
17.2,80.3,76.5,5.1,0,1,95.9,4.6,81.8
18.9,83.3,66.0,8.0,0,0,100.0,0.8,81.0
10.4,95.9,98.3,7.1,0,0,100.0,0.6,80.4
14.7,79.6,69.2,9.4,1,1,86.8,2.7,76.9
2.0,82.5,74.6,5.7,0,1,78.9,4.1,55.3
9.9,82.5,72.8,11.2,0,1,78.3,1.2,60.5
13.7,71.6,98.5,4.0,0,0,91.0,0.3,70.0
8.8,91.7,71.5,6.5,1,0,72.7,3.8,67.5
23.2,87.2,70.4,4.5,0,0,100.0,1.1,81.3
7.8,94.4,76.4,9.8,0,0,91.2,0.5,64.4
12.8,85.1,66.7,6.6,0,1,100.0,0.5,74.1
15.7,98.1,76.3,6.7,0,0,100.0,1.1,80.9
22.2,96.8,100.0,7.7,0,1,100.0,2.7,100.0
7.8,85.6,78.6,7.0,0,0,81.3,1.3,63.3
20.8,96.5,78.2,6.1,1,1,100.0,0.1,92.7
15.1,82.4,66.4,5.1,1,1,92.1,0.3,72.4
10.1,72.4,95.5,7.3,0,0,85.5,1.0,71.6
17.3,59.5,98.3,7.6,0,1,89.0,3.2,85.3
16.0,90.9,85.2,8.0,0,0,100.0,0.3,80.6
12.0,87.5,82.8,9.9,0,0,96.8,2.5,79.6
15.3,93.7,72.2,4.0,1,1,87.6,0.4,77.5
13.1,89.3,79.7,6.9,0,1,96.0,0.7,81.3
15.6,58.0,65.0,8.8,0,0,91.0,0.6,60.9
18.3,71.3,61.5,6.8,0,0,80.4,0.2,63.9
22.9,88.2,57.2,4.0,1,1,100.0,3.3,81.5
8.8,98.1,79.9,5.1,0,1,100.0,1.9,79.1
25.7,98.2,58.5,7.5,0,0,100.0,5.3,85.5
5.2,86.1,69.0,7.4,0,1,58.4,0.3,53.4
14.2,81.7,74.3,8.0,1,0,80.4,0.5,71.4
17.9,62.9,86.9,5.8,1,0,89.2,1.1,78.7
16.4,84.5,68.1,7.4,0,0,100.0,4.4,76.8
11.9,76.0,88.4,5.6,0,0,89.9,1.1,73.7
14.0,96.3,86.3,7.4,1,1,94.4,1.6,89.0
12.5,71.2,62.1,7.1,0,0,91.2,1.1,61.5
12.1,77.2,88.5,5.8,0,1,82.2,0.3,69.6
19.2,94.8,71.6,9.3,0,0,100.0,8.4,84.0
16.8,63.8,69.0,4.4,0,1,89.4,2.4,67.9
11.5,88.6,71.6,6.8,0,1,93.4,4.7,74.4
19.5,77.6,75.0,5.7,1,1,100.0,3.2,91.9
16.5,89.0,70.0,9.8,0,1,100.0,2.2,76.7
19.1,94.4,64.9,7.9,0,0,89.5,0.3,77.8
18.1,80.3,66.0,6.0,1,1,100.0,3.1,81.5
10.9,73.4,76.7,6.6,0,1,99.7,0.5,73.3
12.2,59.0,73.1,9.8,0,0,88.8,1.6,58.3
18.7,90.5,81.3,5.6,0,1,100.0,3.0,87.4
18.1,67.8,75.6,4.4,1,0,66.3,4.6,68.4
14.9,96.2,75.9,7.4,1,0,100.0,3.5,86.7
15.6,76.8,82.1,7.5,1,1,100.0,3.3,91.0
21.4,86.8,92.0,8.0,1,0,74.9,0.5,84.8
12.0,56.6,92.5,8.0,0,1,84.6,1.3,70.2
17.7,81.0,91.1,9.7,0,0,84.7,0.1,73.1
14.0,91.1,85.4,4.4,1,0,78.4,3.8,73.4
13.9,75.6,100.0,5.2,0,0,88.1,9.1,77.6
20.5,74.0,80.3,8.0,0,0,100.0,0.9,88.8
19.1,76.4,78.9,5.3,0,1,91.8,0.3,78.3
19.1,77.0,100.0,4.8,0,0,100.0,1.9,91.6
21.5,84.1,42.3,9.8,1,0,100.0,5.8,76.1
15.1,81.1,72.4,4.6,0,0,84.8,2.4,64.5
18.4,46.9,90.0,6.5,0,0,94.9,0.1,77.8
13.4,89.1,86.8,6.9,1,1,68.5,11.0,79.1
16.6,80.9,100.0,9.0,0,0,88.4,5.3,82.4
14.3,85.1,76.3,4.2,0,1,99.2,0.4,75.9
15.5,78.3,69.8,7.6,0,1,89.2,7.6,76.4
18.0,91.8,71.0,5.7,1,1,100.0,1.8,81.8
10.9,57.2,78.8,7.9,1,1,62.5,1.4,62.4
25.5,95.6,94.5,5.6,1,0,100.0,1.9,100.0
10.0,87.3,94.6,9.4,1,0,96.1,5.4,88.9
8.9,72.1,74.3,5.6,0,1,79.6,3.2,61.1
20.8,76.5,78.0,4.0,1,1,100.0,0.2,84.4
19.0,84.4,67.7,5.8,1,1,100.0,9.5,89.8
18.1,90.5,68.9,6.6,0,1,100.0,0.5,85.5
18.1,83.1,87.6,8.6,0,0,96.5,4.1,90.0
14.9,94.8,94.2,5.1,1,0,82.1,3.0,83.5
10.5,82.4,66.6,5.1,1,1,86.5,0.6,66.7
15.4,82.3,77.9,8.4,1,1,66.3,0.6,70.1
11.6,60.7,72.1,4.9,1,0,85.6,6.1,64.8
19.9,94.6,85.4,6.7,0,1,100.0,1.6,89.0
14.3,87.0,70.3,6.8,0,0,80.8,3.2,71.1
10.9,81.2,51.9,7.3,0,0,99.0,2.1,65.3
13.4,74.8,87.0,5.9,0,1,58.7,3.9,65.3
17.1,63.2,71.4,5.6,1,1,89.6,2.0,74.4
12.2,89.8,72.6,7.5,0,0,96.9,1.0,79.5
10.9,84.0,80.2,5.7,0,0,100.0,1.4,75.0
16.2,71.1,79.2,5.0,0,0,84.1,5.9,67.1
16.2,76.6,80.5,8.8,0,1,72.9,1.9,68.3
12.5,75.8,55.4,7.7,0,0,100.0,0.7,62.1
12.6,86.0,81.7,9.7,0,1,100.0,8.2,82.8
16.2,89.2,52.1,8.2,0,1,100.0,4.8,73.0
7.8,75.6,84.2,5.1,0,1,80.7,0.2,64.5
8.0,79.5,88.4,7.1,1,0,74.7,20.0,63.9
11.4,94.5,58.6,5.5,0,1,73.3,3.6,57.9
13.9,77.0,78.9,4.5,0,0,88.9,0.5,65.7
16.6,61.3,87.7,6.3,0,0,75.4,0.8,66.6
22.4,75.4,69.6,8.5,0,0,100.0,3.5,82.9
19.3,62.4,83.1,7.4,0,0,100.0,4.5,87.0
14.2,94.4,41.6,4.9,1,1,100.0,0.8,65.2
14.9,67.2,88.2,6.3,1,0,93.1,0.9,77.6
10.0,97.3,75.4,6.8,0,0,97.0,1.1,73.4
14.9,59.7,71.9,4.5,0,1,86.4,2.7,58.2
13.6,83.9,86.8,8.1,1,0,89.9,0.6,79.8
16.6,82.4,95.8,6.7,1,1,80.0,0.3,87.7
10.9,87.2,80.8,4.9,0,0,77.9,3.4,63.4
17.6,83.2,94.3,4.8,0,0,100.0,4.5,81.1
22.7,78.6,56.4,8.7,0,1,77.9,2.1,77.6
14.5,77.5,83.0,6.4,0,0,89.3,1.4,73.8
17.0,89.9,73.4,8.8,0,0,79.2,1.7,72.1
18.5,87.1,65.5,9.4,0,0,100.0,1.5,73.2
13.0,77.5,51.9,8.5,0,0,89.3,9.7,61.4
16.1,92.5,82.3,6.2,0,0,100.0,4.4,84.1
15.1,83.3,85.5,4.0,1,0,100.0,0.7,75.0
15.5,77.2,91.1,7.5,1,0,95.3,1.5,83.8
11.1,92.0,89.1,10.1,0,1,89.2,2.4,78.6
15.1,87.8,65.7,6.9,1,0,89.0,2.8,82.5
17.5,81.1,90.5,4.0,0,0,95.7,1.9,79.9
22.3,64.1,91.8,6.0,1,0,100.0,5.0,93.7
19.8,86.4,71.9,6.7,0,1,100.0,4.4,86.6
25.8,59.3,75.3,5.4,0,1,100.0,2.1,77.4
11.2,74.5,63.8,4.0,0,1,90.3,5.8,64.5
19.4,82.0,92.8,6.9,0,1,72.3,4.2,87.7
15.9,88.2,56.9,5.8,1,0,67.4,4.5,68.0
25.9,81.1,81.4,9.7,0,0,100.0,9.4,82.0
11.0,96.7,67.8,7.2,0,1,76.6,0.9,67.5
10.8,62.3,61.7,7.7,0,1,70.6,0.9,53.5
12.0,66.4,52.5,6.8,0,0,81.3,6.6,54.0
4.4,76.3,72.4,7.1,0,0,70.4,4.4,52.9
12.4,78.1,59.8,4.5,0,1,60.3,7.8,54.7
11.2,81.2,75.7,5.4,1,1,64.7,0.2,66.0
15.8,98.8,96.2,8.6,1,0,100.0,3.0,100.0
16.7,75.8,77.4,7.3,1,1,93.6,0.5,83.0
24.4,57.8,99.0,6.4,0,0,100.0,2.1,81.7
19.8,80.8,63.2,7.7,1,0,100.0,0.5,84.1
12.1,72.7,59.6,7.8,0,0,70.3,0.4,58.7
10.5,94.2,62.7,10.0,0,0,89.9,0.0,60.5
17.5,77.9,74.2,7.2,0,0,81.5,3.0,74.6
8.4,67.5,100.0,5.4,1,1,84.0,1.3,75.5
24.2,65.1,55.1,6.8,1,0,100.0,0.3,76.0
20.9,81.7,82.4,7.9,1,0,100.0,1.2,92.3
12.7,78.5,66.6,8.5,1,0,82.3,0.6,63.8
6.4,79.4,72.3,4.6,1,0,62.0,8.5,46.1
21.8,69.7,59.9,7.4,1,1,85.7,1.2,74.2
14.4,85.3,85.5,5.7,0,1,100.0,1.2,80.9
21.2,93.9,74.5,6.2,0,1,100.0,5.5,94.3
7.0,54.6,88.0,8.3,0,1,48.2,3.1,47.0
12.0,66.4,77.1,8.1,0,0,54.0,3.7,50.8
15.0,76.6,51.8,6.0,0,0,99.2,3.0,62.2
15.2,92.9,88.2,6.8,0,1,100.0,8.8,93.2
12.7,95.1,50.8,6.2,0,1,96.0,0.7,72.4
18.1,69.9,52.6,11.3,1,1,100.0,13.5,70.7
9.7,96.3,64.0,7.4,1,1,87.7,5.3,78.5
14.3,96.1,64.2,5.7,0,1,95.6,2.7,71.2
15.6,88.1,91.8,9.0,0,0,100.0,3.3,84.5
17.6,80.4,72.9,9.0,0,0,100.0,3.1,83.7
18.6,79.4,90.0,9.7,0,1,95.1,0.2,87.2
9.4,79.1,68.2,10.1,1,1,77.6,0.7,56.8
7.3,66.8,78.8,8.1,0,0,52.9,9.8,47.5
21.4,70.2,80.7,6.5,0,0,100.0,2.3,83.5
16.7,71.5,83.4,6.7,1,0,92.7,1.4,78.7
11.3,71.1,69.4,6.6,1,0,86.5,4.3,60.5
22.8,59.4,70.5,6.4,0,1,100.0,2.2,78.2
15.6,95.5,71.4,8.9,1,0,100.0,0.0,80.8
20.9,77.0,55.2,7.0,0,0,94.5,4.0,71.6
15.3,64.7,74.0,8.5,0,0,84.0,4.0,65.0
25.3,52.7,70.4,8.0,0,1,100.0,0.5,75.8
23.8,89.7,82.0,5.4,0,0,100.0,9.4,88.0
13.8,71.9,76.1,4.4,0,0,100.0,0.8,65.1
19.9,81.2,91.0,5.1,0,0,99.7,1.8,85.0
18.2,65.4,75.8,6.4,0,0,100.0,0.4,69.4
21.8,85.6,68.3,7.2,1,0,99.1,2.8,89.4
10.2,82.3,75.7,6.0,0,0,93.6,1.4,58.8
18.4,48.9,83.7,8.1,0,1,89.6,1.3,72.8
20.3,89.1,53.7,6.2,1,0,100.0,5.3,85.4
6.2,91.6,66.4,7.4,0,0,87.2,0.0,58.0
9.1,78.4,66.7,7.2,1,1,80.8,4.8,70.3
4.8,73.7,79.9,9.6,0,0,71.6,2.5,54.0
